Factor,GF_product_t ET,GF_product_p ET
0x2,8.832359313964841e-05,0.0007586610317230226
0x3,8.903861045837406e-05,0.0007616457939147942
0x9,8.695840835571285e-05,0.0007562451362609859
0xb,9.198880195617666e-05,0.0008135309219360356
0xd,0.00010558223724365236,0.0009332337379455573
0xe,0.00010248923301696786,0.0008814032077789307
